19.43,74.8,2.429,10.21
15.11,85.4,0.833,5.618
15.01,79.4,0.584,10.58
16.27,75.8,0.461,13.19
16.19,71,0.827,13.29
12.17,90.2,1.162,1.801
11.22,90.5,0.833,12.62
11.43,88.1,0.912,1.409
10.67,85.6,1.518,7.43
7.1,89.5,0.943,0.421
8.66,86,0.879,7.01
9.42,86,0.62,6.038
8.44,98.9,0.778,9.69
7.83,99.5,0.704,12.04
9.77,93.7,0.285,5.435
11.93,88.9,0.5,4.408
12.69,83.3,0.554,6.745
11.41,85.2,0.482,10
9.6,83.8,0.289,10
7,82.2,0.302,11.51
7.7,77.5,0.397,10.91
10.28,55.37,1.609,5.479
6.481,69.5,1.029,9.27
8.41,61.07,0.728,12.1
7.25,66.13,0.937,11.4
4.764,61.08,0.837,12.15
3.356,64.67,0.718,11.38
3.56,69.86,0.462,11.31
4.381,75.5,0.376,11.02
3.948,78.1,0.425,10.47
3.681,80.6,0.367,10.43
5.546,81.3,0.376,10.58
5.709,82.9,0.369,10.09
5.684,87.8,0.472,8.16
4.899,88.3,0.352,7.8
4.357,90.1,0.414,6.647
5.052,82,0.407,9.14
4.592,89.2,0.487,5.605
4.186,88.5,0.387,6.558
6.362,86.7,0.394,5.578
8.15,94.1,0.256,1.635
7.1,86.8,0.495,2.52
7.74,85.6,2.005,1.359
6.627,83.8,0.893,3.951
5.139,87.7,0.656,3.953
7.98,84.1,0.816,3.427
7.87,78.2,0.71,7.51
5.443,85.1,0.457,7.95
2.258,95.6,0.778,3.028
4.544,88.6,0.743,6.774
2.779,91.9,0.47,5.868
3.282,93.5,0.357,3.273
4.712,89.7,0.488,7.48
7.27,82.2,0.888,6.258
9.79,77.3,1.157,7.82
7.96,82.2,0.585,2.195
9.1,82.1,0.394,4.589
8.44,82.7,0.733,7.72
5.222,84.8,1.247,7.08
10.67,71.9,1.929,9.16
7.76,79.9,2.334,8.32
6.192,68.94,1.28,9.24
1.559,78.8,0.438,5.873
1.928,72.8,0.773,9.23
1.665,74.2,0.481,8.72
2.427,82.4,0.415,9.18
1.702,75.5,1.429,6.796
2.673,65.32,2.472,6.593
1.332,61,1.282,9.36
1.308,75.6,2.08,4.035
3.375,74.7,0.985,7.61
4.935,73.3,0.771,7.25
3.865,81.8,0.527,9.26
2.562,81.9,0.429,9.55
2.482,81.9,0.58,8.02
1.744,79.3,0.569,9.43
0.239,89.3,0.521,6.181
-0.938,88,0.381,7.6
0.194,78.2,0.444,8.94
1.674,77.1,0.483,9.93
0.35,76.6,0.513,10.04
-0.501,72.3,0.511,10.11
-1.584,80.8,0.499,8.24
-0.898,75.3,0.493,9.64
0.452,73.2,0.469,9.05
2.719,78.5,0.443,9.09
3.195,87.2,0.41,6.788
3.317,85.5,0.395,7.64
3.874,78.1,0.423,9.75
1.826,77.6,0.514,10.35
4.245,71.2,2.093,9.76
6.224,65.33,1.854,10.63
6.938,68.27,0.864,10.88
3.971,74.5,0.521,11.19
3.198,65.72,0.442,11.31
2.661,66.15,0.52,10.8
3.338,58.46,0.953,11.33
1.831,49.92,1.378,9.87
0.71,55.96,2.013,10.53
-3.396,50.9,1.018,11.13
-1.763,60.02,0.947,11.63
4.05,55.49,1.155,10.54
0.856,49.23,0.865,12.88
1.219,56.75,0.796,12.39
2.155,63.91,0.811,12.45
5.17,58.72,0.696,12.8
2.35,58.27,0.594,13.01
2.258,68.74,0.647,9.27
3.535,72.4,0.738,6.507
4.413,83.9,0.848,5.241
4.874,85,1.23,2.186
5.593,83.5,0.657,6.599
4.64,82.3,0.691,8.11
3.929,79.958,0.573,8.34
3.858,76.8,0.643,12.74
6.683,66.05,0.906,13.13
8.59,57.1,2.226,14.26
6.571,44.31,1.505,12.58
3.408,57.65,1.807,8.33
1.769,54.22,1.239,15.49
1.649,55.02,1.137,15.5
0.601,51.59,0.714,15.78
2.682,57.35,0.928,15.59
4.755,57.1,1.368,13.91
3.399,49.93,1.196,11.57
4.013,51.91,1.073,6.033
1.607,72.9,1.258,14.93
3.321,64.57,0.871,11.23
0.312,39.31,1.557,17.17
1.288,43.1,0.981,15.23
2.567,66.75,1.186,14.83
2.647,51.9,1.16,18.63
4.216,55.62,2.088,16.29
5.93,48.76,1.655,13.25
2.347,46,0.882,19.46
1.968,45.49,0.62,19.38
3.82,45.11,0.742,18.03
5.855,44.78,0.639,18.1
7.16,41.24,0.619,19.78
8.71,64.46,0.81,12.39
10,73.1,0.902,14.95
11.31,67.57,0.653,13.28
14.1,59.62,0.98,17.63
13.55,60.09,1.113,18.79
15.2,43.3,1.447,19.52
14.1,39.73,1.861,19.87
12.65,50.22,0.608,14.8
16.3,51.15,0.869,16.31
17.37,54.59,1.808,10.88
14.61,65.81,1.675,15.64
12,77.1,1.488,8.3
11.31,73.4,0.594,16.92
13.47,66.91,2.195,13.52
11.63,72.9,3.151,12.98
11.63,65.53,3.47,16.16
11.82,73.6,2.955,13.22
13.98,73.2,3.467,17.97
13.54,61.73,1.744,18.29
14.22,58.56,0.634,19.83
14.68,53.04,1.804,17.37
11.52,78.3,1.179,8.83
12.27,76.9,1.154,12.84
12.64,75.3,0.745,13.69
12.79,71.5,0.699,17.61
15.59,56.69,1.396,20.58
15.8,54.26,1.281,22.65
10.98,65.61,0.89,7.93
7.46,44.11,1.5,24.29
7.93,45.18,1.287,25.25
9.8,50.29,1.241,24.56
12.56,49.73,0.885,24.51
12.68,52.08,0.99,25.21
13.7,50.38,2.857,22.79
10.61,43.23,3.038,23.35
10.35,43.49,3.073,22.48
14.14,55.34,3.325,16.74
14.24,53.99,4.712,20.62
11.88,54.42,2.793,19.62
13.94,52.61,2.431,21.87
16.35,51.8,1.813,23.7
17.04,51.76,1.921,26.74
15.86,52.19,2.42,22.91
14.14,56.62,3.778,25.55
13.15,47.14,0.953,27.64
15.61,37.25,1.107,27.52
17.83,36.18,0.915,27.53
19.77,31.4,0.816,27.04
21.99,21.95,1.254,26.83
21.7,32.83,1.223,22.55
21.1,36.94,1.541,23.66
19.98,39.6,1.853,25.27
17.47,37.35,1.524,23.95
18.73,33.06,1.106,23.1
17.64,36.34,1.221,28.39
16.91,35.23,0.852,28.88
19.39,29.46,1.029,27.31
21.4,35.44,2.089,27.69
22.35,37.61,2.353,19.65
18.35,48.44,2.025,19.13
17.72,53.52,1.463,18.88
16.05,73.8,1.469,15.74
13.12,78.6,1.882,11.75
14.26,57.33,1.935,27.44
15.25,47.15,2.223,26.85
12.08,57.38,2.132,15.69
14.05,51.58,1.368,23.56
15.67,44.69,0.965,29.62
19.48,36.19,0.918,29.32
21.99,33.27,1.243,29.32
21.44,36.57,2.171,22.67
17.59,38.24,2.08,29.6
17.89,32.55,0.843,29.95
23.07,34.77,1.136,29.42
25.18,24.67,0.996,29.6
26.64,20.73,1.057,28.98
25.02,24.9,1.032,28.71
25.36,29.68,1.139,25.72
21.14,47.15,1.261,15.23
19.69,70.7,0.789,9.12
20.01,64.1,1.021,17.89
23.08,49.13,0.939,26.81
24.3,29.51,1.035,28.14
25.27,34.47,1.141,25.57
25.86,37.3,1.21,27.09
26.6,35.14,0.941,29.37
27.18,26.61,0.963,29.2
25.59,32.17,1.112,29.13
25.88,33.49,1.073,29.19
25.38,34.29,1.024,28.93
23.12,44.3,1.019,21.83
24.67,41.02,1.722,27.92
25.3,32.63,1.966,27.37
20.72,41.99,2.889,25.11
21.15,42.18,1.762,27.88
23.23,38.75,0.95,27.67
25.54,40.47,0.529,28.7
28.43,35.16,1.011,28.51
27.61,34.81,0.915,27.75
29.04,32.87,0.774,27.37
27.86,39.71,1.378,24.84
27.9,45.03,1.286,25.86
28.79,40.06,1.631,27.51
21.82,68.83,1.387,9.98
24.16,54.81,1.308,27.32
24.46,47.58,1.276,27.88
25.52,38.22,1.381,28.36
26.76,41.22,1.439,19.18
24.42,32.93,1.982,28.98
22.37,36.98,1.649,30.26
23.73,40.23,1.176,29.67
24.98,41.5,0.671,29.58
27.45,41.7,0.765,28.8
28.69,39.57,0.901,29.11
27.95,32.34,1.965,28.04
24.99,37.41,0.692,28.9
26.33,36.62,0.793,28.98
27.07,39.82,1.049,26.83
25.04,46.91,1.071,24.06
26.14,45.9,1.137,25.45
23.74,41.45,0.991,29.13
25.31,45.7,0.694,29.22
26.59,32.79,0.757,28.14
27.36,37.48,0.76,27.88
30.25,31.36,1.081,27.39
28.55,36.17,1.011,27.94
26.56,34.17,1.283,28.9
24.68,34.13,1.668,22.86
23.73,35.92,1.451,28.59
25.38,39.29,0.732,28.38
28.35,39.42,0.784,27.73
27.77,31.68,1.371,27.3
27.47,30.63,0.88,25.8
26.67,38.35,1.654,25.35
27.06,29.56,1.85,27.56
26.15,41.03,2.351,26.47
25.69,45.37,1.519,26.74
24.43,48.43,1.749,22.22
23.69,51.32,1.593,25.5
22.89,38.85,2.124,27.76
21.02,43.7,0.614,27.51
23.5,40.13,1.036,26.84
25.25,44.22,1.602,24.79
21.23,44.89,1.012,27.61
22.01,39.87,0.864,27.96
24.52,39.55,0.692,27.14
25.74,39.67,0.613,25.22
25.83,38.65,0.629,24.5
27.4,35.52,0.893,22.41
27.58,38.28,0.995,17.85
25.71,35.8,1.525,21.1
20.11,69.77,1.798,13.24
22.77,56.91,0.774,25.65
23.2,45.25,0.602,26.81
25.55,46.04,0.721,24.5
26.4,38.21,0.614,26.35
27.62,33.97,0.801,26.02
26.09,44.86,1.041,15.16
25.46,44.02,1.023,24.35
24.71,38.79,0.824,23.15
23.18,52.64,0.778,15.85
21.84,38.98,1.122,25.34
18.43,43.85,0.992,25.96
19.31,44.98,0.687,25.8
22.06,46.45,0.767,25.15
23,43.38,0.987,23.83
23.7,36,1.167,24.76
24.57,33.74,1.321,24.35
25.7,38.03,1.429,21.81
24.94,44.36,0.818,24.06
27.08,50.46,1.031,23.51
27.16,49.39,0.964,23.13
29.3,31,1.294,18.78
24.31,48.66,0.766,22.56
26.36,48.04,1.016,21.51
26.13,44.24,0.949,21.95
25.65,35.49,1.565,21.75
23.18,33.37,2.152,21.83
18.96,50.54,2.556,18.28
16.26,74.1,1.214,14.46
18.52,65.32,1.066,17.74
20.04,58.78,2.224,22.64
18.86,50.24,2.056,23.34
17.15,50.77,1.161,19.62
17.26,57.22,0.718,19.47
19.43,50.86,0.748,21.95
20.2,49.82,0.853,21.97
21.26,50.66,0.604,20.25
22.06,44.94,1.689,19.84
16.87,56.8,1.043,7.61
12.27,53.02,0.864,22.39
12.94,46.84,0.597,22.21
15.03,41.22,0.647,21.98
16.31,41.55,0.698,21.44
22.42,31.73,0.885,18.44
17.79,46.07,0.523,10.59
18.76,47.51,0.783,19.57
19.29,48.95,1.174,19.87
17.51,52.53,0.704,20.62
17.91,60.42,0.665,17.97
18.42,59.57,0.606,18.18
18.85,54.1,0.591,17.66
18.76,44.4,0.6,19.57
19.17,38.41,0.646,19.21
17.09,43.43,1.137,19.41
12.91,48.81,0.713,17.49
12.33,45.86,0.537,19.16
12.71,42.49,0.657,18.92
13.77,46.12,0.7,18.33
16.38,56.17,0.794,17.6
14.8,64.6,0.545,12.22
16.76,59.4,0.569,11.07
17.56,75.1,0.783,7.26
18.4,73.6,0.782,9.68
16.6,82.3,1.576,10.43
10.51,84.7,1.853,5.688
10.61,78.8,0.634,9.02
11.5,75.9,0.553,11.79
13.42,73.6,0.542,13.36
15.16,79.7,0.559,5.084
15.24,80.3,0.993,10.1
12.96,76.6,0.685,15.51
12.7,82.1,0.613,8.77
14,80.5,1.596,12.04
14.38,87.8,0.939,5.498
13.06,84.5,0.918,10.41
12.02,81.9,0.511,12.31
12.77,79.7,0.452,11.03
14.75,72.2,0.994,14.02
18.89,57.29,1.578,11.88
17.05,72.2,1.324,2.7
14.29,84.9,0.614,10.28
17.01,73.6,1.017,10.38
13.45,77.7,2.427,12.98
11.6,81.7,0.524,10.27
11.89,79.5,0.532,11.25
11.48,82,0.522,8.22
11.62,62.74,1.652,12.04
6.596,76.2,0.449,12.61
6.51,73.5,0.485,12.89
6.483,74.2,0.474,12.23
7.99,74.2,0.829,12.13
9.09,65.8,1.83,12.06
8.77,59.26,1.083,8.19
8.58,72.7,0.523,6.92
7.13,85.2,0.841,7.69
5.589,87.9,0.472,4.697
6.265,89.3,0.495,2.78
6.727,93.8,0.318,1.426
5.927,92.2,0.838,3.008
5.471,94.2,0.345,4.086
7.29,91.6,0.442,5.359
10.94,77.2,0.688,5.357
11.1,76.9,1.413,5.156
9.75,81.9,0.85,5.238
10.19,85.6,0.364,7.49
7.61,79,0.64,10.52
3.609,74.6,0.557,9.97
3.371,80.7,2.375,6.772
3.678,67.95,2.306,10.03
2.979,76.7,1.951,10.04
4.345,82.9,1.445,7.11
0.877,91.6,0.419,5.321
2.085,78.5,0.797,9.77
4.492,70.9,1.37,8.98
10.33,81.8,4.3,5.014
9.25,80.9,2.224,7.37
9.61,83.4,2.331,3.227
9,70.6,2.227,5.766
3.801,78.8,0.588,9.37
4.663,81.2,0.362,9.14
4.168,85.5,0.482,7.79
5.121,80.8,0.77,7.81
2.161,68.29,0.448,10.01
-0.247,75.7,0.479,9.75
0.175,76.5,0.437,8.64
2.28,74,0.557,8.72
2.132,75.2,0.798,6.634
0.647,72.3,0.633,9.15
-0.685,79.9,0.471,9.07
1.715,79.4,0.69,8.43
1.943,79.6,0.488,9.37
1.158,85.9,0.584,4.722
4.45,82.9,0.654,3.136
3.249,78.3,0.658,9.11
1.283,76.8,0.625,9.37
0.574,77.2,0.49,9.33
-0.011,83.4,0.411,5.839
3.471,83.3,0.333,4.082
4.024,92.5,0.565,2.506
7.91,83.4,4.548,6.001
4.589,72.6,1.238,4.432
3.529,80.3,1.502,6.789
10.12,81.6,3.086,8.96
8.82,81.6,3.352,3.613
7.2,67.2,2.512,9.26
5.452,69.16,1.526,9.64
3.955,73.2,0.804,9.35
2.35,76.9,0.566,9.23
4.144,78.8,0.836,7
5.779,89.1,0.616,1.531
5.824,91.3,0.434,2.061
6.611,87.9,0.448,4.227
6.311,88.4,0.549,5.25
5.45,84.3,0.663,2.812
6.211,80.2,0.421,8.85
3.027,87.8,0.368,9.21
1.301,90.1,0.543,9.14
3.214,90.9,0.489,1.966
5.195,86.5,0.766,4.452
4.398,91.2,0.549,1.331
6.811,85.1,0.803,6.731
5.474,86.3,0.565,8.03
5.057,86.7,0.694,9.74
4.196,91,0.801,8.39
5.717,87.5,0.396,2.951
4.997,81.4,0.517,4.739
3.995,82.9,0.506,11.12
3.144,81.2,1.097,8.47
3.854,72.4,1.559,6.678
1.729,79.7,0.542,10.81
1.421,65.53,0.963,11.07
-0.682,63.41,0.81,11.51
-1.269,75.5,0.636,5.15
-0.513,77.3,0.484,7.44
3.169,75.8,0.428,11.43
3.549,79.5,0.572,9.78
4.561,78.6,0.435,11.52
5.217,81.1,0.871,7.04
3.759,75.2,0.644,10.37
